p01,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64
05_Excelente,5,5,5,5,5,5,5,5,5,los limites porque queda super claro el contenido,al haber repasado antes de hacer el cuestionario del curso,5,5,5,5,5,5,5,5,creo que los contenidos pasados en el curso complementan bastante lo que se espera aprender de las clases de catedra,5,4,5,5,5,,5,5,5,5,5,5,5,sin observaciones,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,5,5,Algo pesada,Algo más fácil,Algo largo,Similar,1,1,1,1,que tomen el taller es muy bueno
03_Neutral,4,4,3,4,3,5,4,3,4,video didactico,explicacion paso paso,3,3,4,4,3,3,3,3,examen final demaciado extenso,2,2,3,2,2,supe como comunicarme con el,4,4,3,3,5,5,4,contacte con ellos,4,3,3,4,3,5,4,3,4,4,4,3,4,4,3,4,4,3,4,Algo pesada,Algo más difícil,Algo largo,Mejor,1,0,0,0,que lo hagan con mas anticipacion
04_Muy bueno,5,5,5,5,5,5,5,5,4,en la evaluación final deje mi computador encendido y al momento de retomar mi sobrino presiono un botón el cual desconozco cuál fue y logre ver ninguna pregunta,es muy bueno que sea interactivo y así lograr estudiar en horarios que se puedan manejar,5,5,5,5,5,4,4,4,sin comentarios,3,5,5,5,5,seria ideal que entregue más ejemplos,5,5,5,5,5,5,5,podía ingresar este curso debido tener problemas con las credenciales,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Similar,Apropiado,Mejor,0,1,0,0,verificar las respuestas
03_Neutral,2,2,3,5,5,3,4,5,3,nada,tener mas tiempo,2,1,2,1,1,2,5,5,malo,3,2,2,2,2,lo use,2,3,3,3,3,3,3,lo use,2,2,3,2,2,2,3,2,2,3,3,2,2,3,3,2,2,3,3,Apropiada,Algo más difícil,Algo largo,Peor,0,0,1,0,tomarse el tiempo
05_Excelente,5,5,5,5,5,5,5,5,5,los videos interactivos ya que puedes avanzar y retroceder el video y así entender mejor los procedimientos de distinción ejercicios matemáticos,enviando recordatorios al correo,5,5,5,5,5,5,5,5,en resumen todos los elementos evaluados contribuyeron significativamente mi aprendizaje proporcionando recursos valiosos y soporte que facilitaron mi proceso educativo en este curso de matemáticas,5,4,5,4,5,con todas las dudas se puede resolver muy bien,5,4,5,5,4,5,5,en general excelente,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Algo más fácil,Demasiado largo,Mucho mejor,0,1,1,0,que se den por vencidos
03_Neutral,4,4,4,4,4,4,4,4,4,las actividades de los videos,mejorando la explicacion de los videos,4,4,4,4,4,4,4,4,todo,3,5,5,5,5,todo,5,5,5,5,5,5,5,todo lo necesité,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Similar,Apropiado,Mejor,0,0,1,0,todo
03_Neutral,4,4,4,4,4,4,4,4,4,el explicar todos los ejercicios aunque fue mal hay que seguir repasando,que solo fuera la alternativa de aser los ejercicios,4,4,4,4,4,4,4,4,sin comentarios,4,4,4,4,4,,4,4,4,4,4,4,4,sin comentarios,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Mucho más fácil,Algo corto,Mucho mejor,1,1,1,1,tomar todas las ayudas que orese la casa de estudio tales como los talleres
04_Muy bueno,5,5,5,5,5,5,5,5,5,integrales,mas corto,3,2,5,5,5,5,5,5,buen material,5,5,5,5,5,buena,5,5,5,5,5,5,5,bueno,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Mucho más difícil,Demasiado largo,Similar,1,1,1,1,mas corto
04_Muy bueno,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,4,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Algo pesada,Algo más difícil,Algo largo,Mejor,1,1,1,1,
04_Muy bueno,5,5,5,5,5,5,5,5,5,videos,nada,5,5,5,5,5,5,5,5,,5,3,3,3,3,,3,3,3,3,3,3,3,sin comentarios,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Similar,Apropiado,Mucho mejor,1,0,0,0,estudiar
